City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clyde river,70.4692,-68.5914,-23.87,64,100,3.6,CA,1677089720
1,upernavik,72.7868,-56.1549,-23.59,90,100,12.09,GL,1677089723
2,nazarovo,56.0064,90.3914,-15.08,99,56,2.23,RU,1677089724
3,omboue,-1.5746,9.2618,26.62,84,82,3.16,GA,1677089725
4,hermanus,-34.4187,19.2345,18.78,73,22,4.44,ZA,1677089726
5,caravelas,-17.7125,-39.2481,28.62,58,100,3.64,BR,1677089727
6,uruana,-15.4981,-49.6875,24.99,83,99,1.69,BR,1677089727
7,viedma,-40.8135,-62.9967,31.26,27,2,4.09,AR,1677089728
8,progreso,21.2833,-89.6667,32.28,44,4,5.64,MX,1677089729
9,coquimbo,-29.9533,-71.3436,21.85,64,40,5.66,CL,1677089730
10,granadilla de abona,28.1188,-16.576,16.37,76,40,5.66,ES,1677089733
11,hovd,48.0056,91.6419,-14.4,83,28,1.3,MN,1677089733
12,fare,-16.7,-151.0167,26.83,74,100,1.84,PF,1677089734
13,kodiak,57.79,-152.4072,-3.27,100,0,1.54,US,1677089735
14,rikitea,-23.1203,-134.9692,26.6,71,43,5.27,PF,1677089736
15,kavieng,-2.5744,150.7967,27.47,79,100,7.46,PG,1677089737
16,atuona,-9.8,-139.0333,26.4,77,50,8.02,PF,1677089739
17,broome,42.2506,-75.833,1.12,82,100,3.6,US,1677089739
18,lazaro cardenas,17.9583,-102.2,28.86,48,100,3.03,MX,1677089740
19,port alfred,-33.5906,26.891,20.66,90,0,0.45,ZA,1677089741
20,san patricio,28.017,-97.5169,31.71,35,3,3.89,US,1677089742
21,punta arenas,-53.15,-70.9167,11.06,46,75,16.46,CL,1677089743
22,hammerfest,70.6634,23.6821,-6.75,63,100,7.72,NO,1677089744
23,okakarara,-20.5833,17.4333,26.08,20,4,3.23,NA,1677089744
24,asau,46.4333,26.4,2.51,88,86,0.36,RO,1677089744
25,butaritari,3.0707,172.7902,27.2,77,91,8.19,KI,1677089745
26,east london,-33.0153,27.9116,22.52,83,0,3.6,ZA,1677089745
27,bluff,-46.6,168.3333,11.56,71,97,7.31,NZ,1677089746
28,punganuru,13.3667,78.5833,17.61,65,0,1.77,IN,1677089746
29,airai,-8.9266,125.4092,16.05,93,98,1.35,TL,1677089747
30,mar del plata,-38.0023,-57.5575,31.57,51,0,5.66,AR,1677089747
31,nordby,55.446,8.3979,7.36,90,75,5.14,DK,1677089747
32,qaanaaq,77.484,-69.3632,-23.16,51,3,4.16,GL,1677089730
33,busselton,-33.65,115.3333,16.87,76,60,3.12,AU,1677089749
34,bambous virieux,-20.3428,57.7575,26.23,78,40,3.09,MU,1677089749
35,faanui,-16.4833,-151.75,26.98,74,100,2.68,PF,1677089749
36,sehwan,26.4279,67.863,22.87,21,81,2.07,PK,1677089750
37,bredasdorp,-34.5322,20.0403,19.28,68,17,4.0,ZA,1677089624
38,saint-philippe,-21.3585,55.7679,26.77,80,52,5.44,RE,1677089750
39,ushuaia,-54.8,-68.3,9.81,50,40,11.83,AR,1677089751
40,bethel,41.3712,-73.414,5.52,60,100,2.06,US,1677089562
41,plouzane,48.3833,-4.6167,6.18,70,40,5.66,FR,1677089752
42,merke,42.8728,73.1786,6.13,72,100,0.88,KZ,1677089752
43,fairbanks,64.8378,-147.7164,-12.73,79,75,0.0,US,1677089700
44,madang,-5.2246,145.7966,24.39,91,100,2.22,PG,1677089753
45,hobart,-42.8794,147.3294,12.92,71,97,3.6,AU,1677089753
46,vaini,-21.2,-175.2,25.09,100,40,0.51,TO,1677089754
47,provideniya,64.3833,-173.3,-3.94,97,100,4.6,RU,1677089755
48,kondoa,-4.9,35.7833,21.64,58,96,1.56,TZ,1677089755
49,arraial do cabo,-22.9661,-42.0278,29.92,66,20,2.06,BR,1677089756
50,marzuq,14.4,46.4667,16.79,40,12,3.15,YE,1677089757
51,geraldton,-28.7667,114.6,22.23,68,100,8.75,AU,1677089757
52,curumani,9.1999,-73.5427,37.31,26,47,1.3,CO,1677089758
53,bintulu,3.1667,113.0333,24.54,85,100,0.35,MY,1677089758
54,hilo,19.7297,-155.09,22.93,94,75,2.24,US,1677089728
55,shakhunya,57.6758,46.6114,-15.23,97,98,3.31,RU,1677089759
56,buala,-8.145,159.5921,25.76,85,100,1.37,SB,1677089759
57,bojnurd,37.4747,57.329,7.46,46,7,3.59,IR,1677089760
58,mataura,-46.1927,168.8643,11.38,99,97,0.74,NZ,1677089760
59,tiksi,71.6872,128.8694,-20.34,99,100,1.87,RU,1677089762
60,meulaboh,4.1363,96.1285,25.18,88,99,1.74,ID,1677089763
61,vezirkopru,41.1436,35.4547,9.27,80,96,1.53,TR,1677089764
62,albany,42.6001,-73.9662,2.75,53,86,1.75,US,1677089524
63,bengkulu,-3.8004,102.2655,24.2,90,100,2.96,ID,1677089765
64,boa vista,2.8197,-60.6733,31.99,40,75,6.17,BR,1677089488
65,mahebourg,-20.4081,57.7,26.25,78,40,3.09,MU,1677089766
66,kapaa,22.0752,-159.319,24.18,79,100,9.26,US,1677089735
67,luderitz,-26.6481,15.1594,20.06,68,0,5.8,NA,1677089767
68,kiunga,-6.1219,141.2906,22.44,100,100,0.29,PG,1677089767
69,yellowknife,62.456,-114.3525,-26.36,76,20,5.66,CA,1677089768
70,khatanga,71.9667,102.5,-21.42,99,100,1.87,RU,1677089769
71,olafsvik,64.8945,-23.7142,3.31,98,100,6.03,IS,1677089770
72,vila franca do campo,37.7167,-25.4333,14.23,92,100,1.77,PT,1677089771
73,thio,-21.6167,166.2167,21.98,85,89,3.53,NC,1677089772
74,torbay,47.6666,-52.7314,-0.79,95,100,9.77,CA,1677089773
75,ambikapur,23.1167,83.2,18.02,21,9,1.04,IN,1677089773
76,beyneu,45.3167,55.2,3.53,81,100,8.13,KZ,1677089774
77,guangyuan,32.442,105.823,7.69,85,100,0.56,CN,1677089775
78,denpasar,-8.65,115.2167,27.81,83,40,5.66,ID,1677089524
79,avarua,-21.2078,-159.775,24.03,94,47,0.51,CK,1677089776
80,grand island,40.925,-98.342,-7.84,83,100,11.32,US,1677089767
81,salalah,17.0151,54.0924,22.55,43,1,1.05,OM,1677089778
82,dingle,10.9995,122.6711,23.59,94,100,2.87,PH,1677089779
83,jamestown,42.097,-79.2353,-0.23,100,100,4.63,US,1677089780
84,zhigansk,66.7697,123.3711,-27.52,100,94,0.66,RU,1677089539
85,umm kaddadah,13.6017,26.6876,23.82,12,12,5.69,SD,1677089781
86,yulara,-25.2406,130.9889,25.85,31,1,4.19,AU,1677089781
87,shimoda,34.6667,138.95,6.17,76,100,3.58,JP,1677089782
88,kupang,-10.1667,123.5833,25.83,87,100,3.18,ID,1677089783
89,karratha,-20.7377,116.8463,27.62,77,80,4.29,AU,1677089784
90,cherskiy,68.75,161.3,-32.99,98,100,3.7,RU,1677089785
91,cape town,-33.9258,18.4232,20.62,68,0,7.72,ZA,1677089785
92,narsaq,60.9167,-46.05,-3.88,90,73,2.77,GL,1677089786
93,chokurdakh,70.6333,147.9167,-41.16,100,57,2.62,RU,1677089787
94,tuktoyaktuk,69.4541,-133.0374,-36.0,75,0,3.09,CA,1677089787
95,montbrison,45.6667,4.0833,9.19,90,95,0.56,FR,1677089788
96,novikovo,51.1537,37.8879,-15.95,96,72,3.48,RU,1677089789
97,hithadhoo,-0.6,73.0833,27.57,75,100,5.77,MV,1677089790
98,saint-denis,48.9167,2.3333,9.57,88,100,1.54,FR,1677089790
99,cetraro,39.5166,15.9416,13.37,82,7,0.84,IT,1677089791
100,tarsus,36.9188,34.8784,12.93,79,4,1.82,TR,1677089792
101,saint john,45.2727,-66.0677,2.57,38,75,7.2,CA,1677089602
102,portsmouth,50.799,-1.0913,8.43,83,88,2.68,GB,1677089793
103,ahipara,-35.1667,173.1667,17.08,91,100,1.68,NZ,1677089793
104,sweetwater,25.7634,-80.3731,30.56,61,40,5.14,US,1677089794
105,barrow,71.2906,-156.7887,-20.99,77,100,11.83,US,1677089795
106,les cayes,18.2,-73.75,27.97,57,79,5.91,HT,1677089796
107,bitung,1.4451,125.1824,24.47,85,92,3.21,ID,1677089796
108,touros,-5.1989,-35.4608,29.72,66,53,5.88,BR,1677089797
109,sorland,67.667,12.6934,3.92,97,100,15.22,NO,1677089798
110,half moon bay,37.4636,-122.4286,10.25,64,40,9.77,US,1677089731
